id,kind,source,status,bytes,path
0-648675657737-1679091c5a880faf6fb5e6087eb1b2dc,full,https://devaaluminyum.com/resimler/0-648675657737-1679091c5a880faf6fb5e6087eb1b2dc.jpg,200,63779,archive/references-images/0-648675657737-1679091c5a880faf6fb5e6087eb1b2dc.jpg
0-648675657737-1679091c5a880faf6fb5e6087eb1b2dc,thumb,https://devaaluminyum.com/resimler/0-648675657737-1679091c5a880faf6fb5e6087eb1b2dca.jpg,200,4816,archive/references-images/0-648675657737-1679091c5a880faf6fb5e6087eb1b2dca.jpg
0-648675657737-e4da3b7fbbce2345d7772b0674a318d5,full,https://devaaluminyum.com/resimler/0-648675657737-e4da3b7fbbce2345d7772b0674a318d5.jpg,200,76669,archive/references-images/0-648675657737-e4da3b7fbbce2345d7772b0674a318d5.jpg
0-648675657737-e4da3b7fbbce2345d7772b0674a318d5,thumb,https://devaaluminyum.com/resimler/0-648675657737-e4da3b7fbbce2345d7772b0674a318d5a.jpg,200,5935,archive/references-images/0-648675657737-e4da3b7fbbce2345d7772b0674a318d5a.jpg
0-648675657737-a87ff679a2f3e71d9181a67b7542122c,full,https://devaaluminyum.com/resimler/0-648675657737-a87ff679a2f3e71d9181a67b7542122c.jpg,200,48337,archive/references-images/0-648675657737-a87ff679a2f3e71d9181a67b7542122c.jpg
0-648675657737-a87ff679a2f3e71d9181a67b7542122c,thumb,https://devaaluminyum.com/resimler/0-648675657737-a87ff679a2f3e71d9181a67b7542122ca.jpg,200,3770,archive/references-images/0-648675657737-a87ff679a2f3e71d9181a67b7542122ca.jpg
0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3,full,https://devaaluminyum.com/resimler/0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3.jpg,200,78943,archive/references-images/0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3.jpg
0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3,thumb,https://devaaluminyum.com/resimler/0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3a.jpg,200,5870,archive/references-images/0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3a.jpg
0-648675657737-c81e728d9d4c2f636f067f89cc14862c,full,https://devaaluminyum.com/resimler/0-648675657737-c81e728d9d4c2f636f067f89cc14862c.jpg,200,100419,archive/references-images/0-648675657737-c81e728d9d4c2f636f067f89cc14862c.jpg
0-648675657737-c81e728d9d4c2f636f067f89cc14862c,thumb,https://devaaluminyum.com/resimler/0-648675657737-c81e728d9d4c2f636f067f89cc14862ca.jpg,200,4962,archive/references-images/0-648675657737-c81e728d9d4c2f636f067f89cc14862ca.jpg
0-648675657737-c4ca4238a0b923820dcc509a6f75849b,full,https://devaaluminyum.com/resimler/0-648675657737-c4ca4238a0b923820dcc509a6f75849b.jpg,200,43187,archive/references-images/0-648675657737-c4ca4238a0b923820dcc509a6f75849b.jpg
0-648675657737-c4ca4238a0b923820dcc509a6f75849b,thumb,https://devaaluminyum.com/resimler/0-648675657737-c4ca4238a0b923820dcc509a6f75849ba.jpg,200,4333,archive/references-images/0-648675657737-c4ca4238a0b923820dcc509a6f75849ba.jpg
